s-sw-0,s-sw-1,w-sw-0,w-sw-1,sw-s-0,sw-s-1,sw-w-0,sw-w-1
0.851,0.313,0.389,0.975,0.956,0.93,0.401,0.384
0.837,0.921,0.179,0.952,0.488,0.364,0.973,0.588
0.949,0.582,0.679,0.884,0.981,0.916,0.896,0.532
0.833,0.967,0.764,0.984,0.857,0.935,0.388,0.812
0.619,0.985,0.548,0.895,0.941,0.91,0.832,0.219
0.847,0.662,0.402,0.924,0.956,0.974,0.429,0.844
0.563,0.964,0.758,0.992,0.839,0.815,0.825,0.84
0.759,0.977,0.962,0.951,0.985,0.895,0.72,0.676
0.941,0.935,0.672,0.693,0.991,0.938,0.465,0.578
0.806,0.974,0.618,0.933,0.895,0.572,0.958,0.826
0.959,0.931,0.867,0.658,0.55,0.871,0.244,0.457
0.624,0.994,0.632,0.975,0.851,0.879,0.991,0.462
0.934,0.857,0.453,0.458,0.75,0.843,0.725,0.927
0.888,0.733,0.885,0.77,0.989,0.836,0.985,0.369
0.883,0.994,0.487,0.97,0.767,0.982,0.869,0.962
0.518,0.974,0.361,0.868,0.993,0.913,0.972,0.898
0.899,0.982,0.666,0.94,0.978,0.931,0.835,0.454
0.775,0.981,0.58,0.956,0.906,0.873,0.897,0.421
0.686,0.788,0.46,0.85,0.857,0.856,0.976,0.578
0.508,0.781,0.573,0.302,0.94,0.958,0.924,0.41
,,,,,,0.974,0.16
,,,,,,0.911,0.895
,,,,,,0.76,0.813
,,,,,,0.974,0.965
,,,,,,0.787,0.791
,,,,,,0.955,0.936
,,,,,,0.95,0.787
,,,,,,0.943,0.848
,,,,,,0.982,0.936
,,,,,,0.896,0.624
